run_date,collected_at,listing_date,seller,title,category,price,currency,market,listing_year,listing_month,listing_day,price_bucket,category_normalized,category_main
2025-12-23,2025-12-23 20:36:23.079283,2025-10-23 17:57:23.709925,seller_ma_031,Graphics Card A54 16GB,Computers/Tablets & Networking,389.99,USD,MOROCCO,2025,10,23,100-500,COMPUTERS/TABLETS & NETWORKING,Computers/Tablets
2025-12-23,2025-12-23 20:36:23.269417,2024-10-05 10:29:38.709925,seller_ma_188,Running Shoes Philips Size 44,"Clothing, Shoes & Accessories",107.99,USD,MOROCCO,2024,10,5,100-500,"CLOTHING, SHOES & ACCESSORIES","Clothing, Shoes"
2025-12-23,2025-12-23 20:36:23.374199,2024-10-27 07:28:09.709925,morocco_best,USB Cable Type-C 10m,"Books, Movies & Music",176.0,USD,MOROCCO,2024,10,27,100-500,"BOOKS, MOVIES & MUSIC","Books, Movies"
2025-12-23,2025-12-23 20:36:23.379518,2024-10-10 18:34:51.709925,seller_ma_155,External Hard Drive 2TB,Computers/Tablets & Networking,319.0,USD,MOROCCO,2024,10,10,100-500,COMPUTERS/TABLETS & NETWORKING,Computers/Tablets
2025-12-23,2025-12-23 20:36:23.496470,2024-10-05 20:35:00.709925,seller_ma_136,Webcam HD 2160p Belkin,Cameras & Photo,134.99,USD,MOROCCO,2024,10,5,100-500,CAMERAS & PHOTO,Cameras
2025-12-23,2025-12-23 20:36:23.658194,2025-10-09 23:30:37.709925,seller_ma_156,Bluetooth Speaker JBL,Jewelry & Watches,128.99,USD,MOROCCO,2025,10,9,100-500,JEWELRY & WATCHES,Jewelry
2025-12-23,2025-12-23 20:36:23.666922,2024-10-07 13:56:18.709925,seller_ma_066,USB Cable Type-C 1m,Baby,130.0,USD,MOROCCO,2024,10,7,100-500,BABY,Baby
2025-12-23,2025-12-23 20:36:23.677746,2025-10-23 09:15:40.709925,seller_ma_096,Gaming Mouse RGB Anker,Business & Industrial,200.0,USD,MOROCCO,2025,10,23,100-500,BUSINESS & INDUSTRIAL,Business
2025-12-23,2025-12-23 20:36:23.680752,2024-10-14 02:11:04.709925,seller_ma_112,Coffee Maker Smart Black+Decker,Home & Garden,103.99,USD,MOROCCO,2024,10,14,100-500,HOME & GARDEN,Home
2025-12-23,2025-12-23 20:36:23.681755,2024-10-03 02:50:47.709925,seller_ma_111,Gaming Mouse RGB Anker,Sporting Goods,137.99,USD,MOROCCO,2024,10,3,100-500,SPORTING GOODS,Sporting Goods
2025-12-23,2025-12-23 20:36:23.711434,2024-10-05 15:09:41.709925,seller_ma_003,Garden Tool Set 12pc,Home & Garden,141.99,USD,MOROCCO,2024,10,5,100-500,HOME & GARDEN,Home
2025-12-23,2025-12-23 20:36:23.728690,2024-10-09 04:59:54.709925,seller_ma_021,External Hard Drive 4TB,Computers/Tablets & Networking,498.99,USD,MOROCCO,2024,10,9,100-500,COMPUTERS/TABLETS & NETWORKING,Computers/Tablets
2025-12-23,2025-12-23 20:36:23.729691,2024-10-25 12:20:24.709925,seller_ma_109,Earbuds True Wireless Samsung,Cell Phones & Accessories,141.99,USD,MOROCCO,2024,10,25,100-500,CELL PHONES & ACCESSORIES,Cell Phones
2025-12-23,2025-12-23 20:36:23.872017,2025-10-15 15:12:55.709925,tanger_shop,Power Bank 50000mAh,Video Games & Consoles,200.0,USD,MOROCCO,2025,10,15,100-500,VIDEO GAMES & CONSOLES,Video Games
2025-12-23,2025-12-23 20:36:23.941562,2024-10-30 22:04:07.709925,seller_ma_036,"""LED TV M"""" Samsung Smart""","TV, Video & Home Audio",108.99,USD,MOROCCO,2024,10,30,100-500,"TV, VIDEO & HOME AUDIO","TV, Video"
2025-12-23,2025-12-23 20:36:23.962152,2024-10-27 04:10:18.709925,seller_ma_056,Bluetooth Speaker Sony,Cameras & Photo,430.99,USD,MOROCCO,2024,10,27,100-500,CAMERAS & PHOTO,Cameras
2025-12-23,2025-12-23 20:36:24.065453,2024-10-21 12:20:45.709925,seller_ma_010,Gaming Mouse RGB LG,Video Games & Consoles,156.0,USD,MOROCCO,2024,10,21,100-500,VIDEO GAMES & CONSOLES,Video Games
2025-12-23,2025-12-23 20:36:24.200479,2025-10-18 02:59:16.709925,seller_ma_175,"""Windshield Wipers XL"""" Set""",Automotive,260.99,USD,MOROCCO,2025,10,18,100-500,AUTOMOTIVE,Automotive
2025-12-23,2025-12-23 20:36:24.457575,2025-10-24 16:54:39.709925,seller_ma_137,Laptop Stand Aluminum,Baby,132.99,USD,MOROCCO,2025,10,24,100-500,BABY,Baby
2025-12-23,2025-12-23 20:36:24.970618,2025-10-22 17:34:20.709925,seller_ma_085,Power Bank 20000mAh,Baby,171.0,USD,MOROCCO,2025,10,22,100-500,BABY,Baby
2025-12-23,2025-12-23 20:36:25.030087,2025-10-02 02:34:51.709925,seller_ma_170,HDMI Cable 1m Gold Plated,"TV, Video & Home Audio",175.99,USD,MOROCCO,2025,10,2,100-500,"TV, VIDEO & HOME AUDIO","TV, Video"
2025-12-23,2025-12-23 20:36:26.162911,2025-10-18 21:37:15.709925,seller_ma_009,Phone Charger Fast Charging Anker,Electronics,192.99,USD,MOROCCO,2025,10,18,100-500,ELECTRONICS,Electronics
2025-12-23,2025-12-23 20:36:26.183675,2025-10-27 17:47:45.709925,seller_ma_042,"""LED TV 43"""" Philips Smart""",Jewelry & Watches,149.99,USD,MOROCCO,2025,10,27,100-500,JEWELRY & WATCHES,Jewelry
2025-12-23,2025-12-23 20:36:26.588652,2024-10-06 16:50:34.709925,seller_ma_121,Phone Ring Holder 360°,Cell Phones & Accessories,186.0,USD,MOROCCO,2024,10,6,100-500,CELL PHONES & ACCESSORIES,Cell Phones
2025-12-23,2025-12-23 20:36:26.706956,2024-10-02 01:45:47.709925,seller_ma_087,Gaming Mouse RGB JBL,Business & Industrial,142.0,USD,MOROCCO,2024,10,2,100-500,BUSINESS & INDUSTRIAL,Business
2025-12-23,2025-12-23 20:36:26.755199,2025-10-31 04:25:15.709925,souk_online,Power Bank 50000mAh,Electronics,403.99,USD,MOROCCO,2025,10,31,100-500,ELECTRONICS,Electronics
2025-12-23,2025-12-23 20:36:26.770406,2025-10-14 10:05:11.709925,seller_ma_102,Webcam HD 4096p Sony,Video Games & Consoles,102.99,USD,MOROCCO,2025,10,14,100-500,VIDEO GAMES & CONSOLES,Video Games
2025-12-23,2025-12-23 20:36:26.920625,2025-10-08 01:39:35.709925,seller_ma_091,"""LED TV S"""" Sony Smart""",Cameras & Photo,420.99,USD,MOROCCO,2025,10,8,100-500,CAMERAS & PHOTO,Cameras
2025-12-23,2025-12-23 20:36:27.250885,2025-10-19 02:22:27.709925,seller_ma_189,Gaming Mouse RGB Belkin,Health & Beauty,200.99,USD,MOROCCO,2025,10,19,100-500,HEALTH & BEAUTY,Health
2025-12-23,2025-12-23 20:36:27.311484,2024-10-26 09:36:50.709925,seller_ma_046,SIM Card Adapter Kit,Cell Phones & Accessories,404.0,USD,MOROCCO,2024,10,26,100-500,CELL PHONES & ACCESSORIES,Cell Phones
2025-12-23,2025-12-23 20:36:27.320671,2024-10-03 18:34:07.709925,seller_ma_028,Laptop Stand Aluminum,Video Games & Consoles,200.99,USD,MOROCCO,2024,10,3,100-500,VIDEO GAMES & CONSOLES,Video Games
2025-12-23,2025-12-23 20:36:27.417025,2025-10-05 12:04:35.709925,seller_ma_196,Power Bank 4mAh,Electronics,125.99,USD,MOROCCO,2025,10,5,100-500,ELECTRONICS,Electronics
2025-12-23,2025-12-23 20:36:27.440421,2025-10-24 08:15:26.709925,tanger_shop,Earbuds True Wireless Apple,Cell Phones & Accessories,272.0,USD,MOROCCO,2025,10,24,100-500,CELL PHONES & ACCESSORIES,Cell Phones
2025-12-23,2025-12-23 20:36:27.685047,2025-10-09 13:57:21.709925,seller_ma_130,Gaming Mouse RGB JBL,Video Games & Consoles,200.99,USD,MOROCCO,2025,10,9,100-500,VIDEO GAMES & CONSOLES,Video Games
2025-12-23,2025-12-23 20:36:27.795236,2024-10-21 20:03:53.709925,seller_ma_192,Earbuds True Wireless Oppo,Cell Phones & Accessories,499.0,USD,MOROCCO,2024,10,21,100-500,CELL PHONES & ACCESSORIES,Cell Phones
2025-12-23,2025-12-23 20:36:27.834326,2025-10-12 11:03:00.709925,seller_ma_073,USB Hub 7-Port Powered,Computers/Tablets & Networking,271.0,USD,MOROCCO,2025,10,12,100-500,COMPUTERS/TABLETS & NETWORKING,Computers/Tablets
2025-12-23,2025-12-23 20:36:27.935024,2025-10-27 21:54:56.709925,seller_ma_074,Webcam HD 1080p Anker,Health & Beauty,109.0,USD,MOROCCO,2025,10,27,100-500,HEALTH & BEAUTY,Health
2025-12-23,2025-12-23 20:36:27.960646,2024-10-27 04:15:31.709925,seller_ma_066,Wireless Headphones Samsung,"Books, Movies & Music",158.99,USD,MOROCCO,2024,10,27,100-500,"BOOKS, MOVIES & MUSIC","Books, Movies"
2025-12-23,2025-12-23 20:36:27.996319,2024-10-12 06:33:41.709925,seller_ma_087,Bluetooth Speaker Belkin,Pet Supplies,119.0,USD,MOROCCO,2024,10,12,100-500,PET SUPPLIES,Pet Supplies
2025-12-23,2025-12-23 20:36:28.002323,2024-10-17 17:11:45.709925,seller_ma_176,Samsung Galaxy S23 256GB,Cell Phones & Accessories,104.0,USD,MOROCCO,2024,10,17,100-500,CELL PHONES & ACCESSORIES,Cell Phones
2025-12-23,2025-12-23 20:36:28.751577,2025-10-15 00:12:07.709925,seller_ma_030,Gaming Mouse RGB Samsung,Baby,179.0,USD,MOROCCO,2025,10,15,100-500,BABY,Baby
2025-12-23,2025-12-23 20:36:28.889057,2024-10-22 12:16:52.709925,seller_ma_090,Laptop Lenovo Ryzen 7 8GB RAM,Computers/Tablets & Networking,247.99,USD,MOROCCO,2024,10,22,100-500,COMPUTERS/TABLETS & NETWORKING,Computers/Tablets
2025-12-23,2025-12-23 20:36:29.349184,2025-10-24 05:39:23.709925,seller_ma_185,Power Bank 4mAh,Jewelry & Watches,132.0,USD,MOROCCO,2025,10,24,100-500,JEWELRY & WATCHES,Jewelry
2025-12-23,2025-12-23 20:36:29.560828,2024-10-26 23:59:40.709925,seller_ma_003,Selfie Stick with Tripod,Cell Phones & Accessories,124.99,USD,MOROCCO,2024,10,26,100-500,CELL PHONES & ACCESSORIES,Cell Phones
2025-12-23,2025-12-23 20:36:29.605580,2025-10-10 04:59:38.709925,seller_ma_141,Phone Charger Fast Charging LG,Health & Beauty,110.99,USD,MOROCCO,2025,10,10,100-500,HEALTH & BEAUTY,Health
2025-12-23,2025-12-23 20:36:29.654311,2024-10-16 14:25:26.709925,seller_ma_118,Webcam HD 4096p JBL,Health & Beauty,177.99,USD,MOROCCO,2024,10,16,100-500,HEALTH & BEAUTY,Health
2025-12-23,2025-12-23 20:36:29.778506,2024-10-23 20:33:06.709925,seller_ma_063,"""LED TV S"""" Sony Smart""",Electronics,317.99,USD,MOROCCO,2024,10,23,100-500,ELECTRONICS,Electronics
2025-12-23,2025-12-23 20:36:29.810187,2025-10-07 13:00:01.709925,seller_ma_047,Bluetooth Speaker LG,Pet Supplies,124.99,USD,MOROCCO,2025,10,7,100-500,PET SUPPLIES,Pet Supplies
2025-12-23,2025-12-23 20:36:29.924163,2025-10-30 10:17:51.709925,seller_ma_199,Phone Charger Fast Charging Samsung,Cameras & Photo,412.99,USD,MOROCCO,2025,10,30,100-500,CAMERAS & PHOTO,Cameras
2025-12-23,2025-12-23 20:36:29.940547,2025-10-09 22:36:23.709925,tanger_shop,Wireless Headphones Samsung,Musical Instruments & Gear,144.99,USD,MOROCCO,2025,10,9,100-500,MUSICAL INSTRUMENTS & GEAR,Musical Instruments
2025-12-23,2025-12-23 20:36:30.081634,2024-10-27 09:05:25.709925,seller_ma_160,Phone Charger Fast Charging Sony,Baby,200.99,USD,MOROCCO,2024,10,27,100-500,BABY,Baby
2025-12-23,2025-12-23 20:36:30.455255,2025-10-18 02:34:32.709925,seller_ma_103,Laptop Stand Aluminum,Sporting Goods,101.99,USD,MOROCCO,2025,10,18,100-500,SPORTING GOODS,Sporting Goods
2025-12-23,2025-12-23 20:36:30.580561,2024-10-29 17:06:22.709925,seller_ma_131,USB Cable Type-C 1m,Musical Instruments & Gear,144.99,USD,MOROCCO,2024,10,29,100-500,MUSICAL INSTRUMENTS & GEAR,Musical Instruments
2025-12-23,2025-12-23 20:36:31.757100,2024-10-02 18:11:01.709925,seller_ma_061,"""LED TV L"""" Samsung Smart""",Electronics,225.0,USD,MOROCCO,2024,10,2,100-500,ELECTRONICS,Electronics
2025-12-23,2025-12-23 20:36:31.847631,2024-10-11 00:11:40.709925,seller_ma_103,Blender 1000W Braun,Home & Garden,274.99,USD,MOROCCO,2024,10,11,100-500,HOME & GARDEN,Home
2025-12-23,2025-12-23 20:36:31.914718,2025-10-28 15:16:14.709925,seller_ma_180,Phone Charger Fast Charging Sony,Pet Supplies,164.0,USD,MOROCCO,2025,10,28,100-500,PET SUPPLIES,Pet Supplies
2025-12-23,2025-12-23 20:36:31.936442,2025-10-16 22:13:02.709925,seller_ma_127,Wireless Headphones JBL,"Books, Movies & Music",200.99,USD,MOROCCO,2025,10,16,100-500,"BOOKS, MOVIES & MUSIC","Books, Movies"
2025-12-23,2025-12-23 20:36:31.936442,2024-10-01 16:56:22.709925,seller_ma_104,Iron Steam Professional,Home & Garden,216.99,USD,MOROCCO,2024,10,1,100-500,HOME & GARDEN,Home
2025-12-23,2025-12-23 20:36:32.014291,2024-10-25 13:57:14.709925,seller_ma_036,Gaming Mouse RGB LG,Sporting Goods,115.99,USD,MOROCCO,2024,10,25,100-500,SPORTING GOODS,Sporting Goods
2025-12-23,2025-12-23 20:36:32.181761,2025-10-04 16:41:04.709925,seller_ma_046,Door Mat Anti-Slip,Home & Garden,340.0,USD,MOROCCO,2025,10,4,100-500,HOME & GARDEN,Home
2025-12-23,2025-12-23 20:36:32.419769,2024-10-17 05:59:45.709925,seller_ma_087,Iron Steam Professional,Home & Garden,400.99,USD,MOROCCO,2024,10,17,100-500,HOME & GARDEN,Home
2025-12-23,2025-12-23 20:36:32.541307,2025-10-30 12:29:06.709925,seller_ma_092,Laptop Stand Aluminum,"Books, Movies & Music",118.0,USD,MOROCCO,2025,10,30,100-500,"BOOKS, MOVIES & MUSIC","Books, Movies"
2025-12-23,2025-12-23 20:36:32.718218,2025-10-15 04:08:52.709925,seller_ma_124,USB Cable Type-C 2m,Electronics,219.99,USD,MOROCCO,2025,10,15,100-500,ELECTRONICS,Electronics
2025-12-23,2025-12-23 20:36:32.866476,2024-10-05 11:55:15.709925,seller_ma_128,Vacuum Cleaner Robot Philips,Home & Garden,139.99,USD,MOROCCO,2024,10,5,100-500,HOME & GARDEN,Home
2025-12-23,2025-12-23 20:36:32.872384,2024-10-03 15:11:10.709925,seller_ma_177,"""LED TV 44"""" Belkin Smart""",Cameras & Photo,337.99,USD,MOROCCO,2024,10,3,100-500,CAMERAS & PHOTO,Cameras
2025-12-23,2025-12-23 20:36:32.877104,2024-10-31 09:51:18.709925,seller_ma_154,Wireless Headphones Anker,Pet Supplies,117.0,USD,MOROCCO,2024,10,31,100-500,PET SUPPLIES,Pet Supplies
2025-12-23,2025-12-23 20:36:32.931590,2025-10-24 16:52:20.709925,seller_ma_153,Gaming Mouse RGB LG,Jewelry & Watches,108.0,USD,MOROCCO,2025,10,24,100-500,JEWELRY & WATCHES,Jewelry
2025-12-23,2025-12-23 20:36:33.370162,2024-10-14 14:09:01.709925,seller_ma_005,Mechanical Keyboard RGB MSI,Computers/Tablets & Networking,235.99,USD,MOROCCO,2024,10,14,100-500,COMPUTERS/TABLETS & NETWORKING,Computers/Tablets
2025-12-23,2025-12-23 20:36:33.412656,2025-10-15 03:10:31.709925,seller_ma_027,Power Bank 10000mAh,Musical Instruments & Gear,108.99,USD,MOROCCO,2025,10,15,100-500,MUSICAL INSTRUMENTS & GEAR,Musical Instruments
2025-12-23,2025-12-23 20:36:33.589785,2025-10-04 16:01:14.709925,seller_ma_043,USB Cable Type-C 2m,Pet Supplies,123.99,USD,MOROCCO,2025,10,4,100-500,PET SUPPLIES,Pet Supplies
2025-12-23,2025-12-23 20:36:33.606217,2025-10-03 11:49:56.709925,seller_ma_071,Webcam HD 1080p JBL,"TV, Video & Home Audio",161.0,USD,MOROCCO,2025,10,3,100-500,"TV, VIDEO & HOME AUDIO","TV, Video"
2025-12-23,2025-12-23 20:36:33.689339,2024-10-13 00:47:06.709925,seller_ma_109,Laptop Stand Aluminum,Health & Beauty,107.99,USD,MOROCCO,2024,10,13,100-500,HEALTH & BEAUTY,Health
2025-12-23,2025-12-23 20:36:33.950030,2025-10-30 05:45:22.709925,seller_ma_110,"""LED TV L"""" Samsung Smart""",Cameras & Photo,417.99,USD,MOROCCO,2025,10,30,100-500,CAMERAS & PHOTO,Cameras
2025-12-23,2025-12-23 20:36:34.037522,2024-10-01 23:49:40.709925,seller_ma_143,Gaming Mouse RGB Sony,Musical Instruments & Gear,101.0,USD,MOROCCO,2024,10,1,100-500,MUSICAL INSTRUMENTS & GEAR,Musical Instruments
2025-12-23,2025-12-23 20:36:34.984632,2025-10-11 00:31:44.709925,seller_ma_008,Webcam HD 4096p Anker,"TV, Video & Home Audio",141.99,USD,MOROCCO,2025,10,11,100-500,"TV, VIDEO & HOME AUDIO","TV, Video"
